,Variable,Description
90,PUFS052,PUF Summer Ever Enrolled rep wt 52
91,PUFS053,PUF Summer Ever Enrolled rep wt 53
92,PUFS054,PUF Summer Ever Enrolled rep wt 54
93,PUFS055,PUF Summer Ever Enrolled rep wt 55
94,PUFS056,PUF Summer Ever Enrolled rep wt 56
95,PUFS057,PUF Summer Ever Enrolled rep wt 57
96,PUFS058,PUF Summer Ever Enrolled rep wt 58
97,PUFS059,PUF Summer Ever Enrolled rep wt 59
98,PUFS060,PUF Summer Ever Enrolled rep wt 60
99,PUFS061,PUF Summer Ever Enrolled rep wt 61
100,PUFS062,PUF Summer Ever Enrolled rep wt 62
101,PUFS063,PUF Summer Ever Enrolled rep wt 63
102,PUFS064,PUF Summer Ever Enrolled rep wt 64
103,PUFS065,PUF Summer Ever Enrolled rep wt 65
104,PUFS066,PUF Summer Ever Enrolled rep wt 66
105,PUFS067,PUF Summer Ever Enrolled rep wt 67
106,PUFS068,PUF Summer Ever Enrolled rep wt 68
107,PUFS069,PUF Summer Ever Enrolled rep wt 69
108,PUFS070,PUF Summer Ever Enrolled rep wt 70
109,PUFS071,PUF Summer Ever Enrolled rep wt 71
110,PUFS072,PUF Summer Ever Enrolled rep wt 72
111,PUFS073,PUF Summer Ever Enrolled rep wt 73
112,PUFS074,PUF Summer Ever Enrolled rep wt 74
113,PUFS075,PUF Summer Ever Enrolled rep wt 75
114,PUFS076,PUF Summer Ever Enrolled rep wt 76
115,PUFS077,PUF Summer Ever Enrolled rep wt 77
116,PUFS078,PUF Summer Ever Enrolled rep wt 78
117,PUFS079,PUF Summer Ever Enrolled rep wt 79
118,PUFS080,PUF Summer Ever Enrolled rep wt 80
119,PUFS081,PUF Summer Ever Enrolled rep wt 81
120,PUFS082,PUF Summer Ever Enrolled rep wt 82
121,PUFS083,PUF Summer Ever Enrolled rep wt 83
122,PUFS084,PUF Summer Ever Enrolled rep wt 84
123,PUFS085,PUF Summer Ever Enrolled rep wt 85
124,PUFS086,PUF Summer Ever Enrolled rep wt 86
125,PUFS087,PUF Summer Ever Enrolled rep wt 87
126,PUFS088,PUF Summer Ever Enrolled rep wt 88
127,PUFS089,PUF Summer Ever Enrolled rep wt 89
128,PUFS090,PUF Summer Ever Enrolled rep wt 90
129,PUFS091,PUF Summer Ever Enrolled rep wt 91
130,PUFS092,PUF Summer Ever Enrolled rep wt 92
131,PUFS093,PUF Summer Ever Enrolled rep wt 93
132,PUFS094,PUF Summer Ever Enrolled rep wt 94
133,PUFS095,PUF Summer Ever Enrolled rep wt 95
134,PUFS096,PUF Summer Ever Enrolled rep wt 96
135,PUFS097,PUF Summer Ever Enrolled rep wt 97
136,PUFS098,PUF Summer Ever Enrolled rep wt 98
137,PUFS099,PUF Summer Ever Enrolled rep wt 99
138,PUFS100,PUF Summer Ever Enrolled rep wt 100
